"378 ""SANTO TOME""";"378 ""SAN ROQUE"""
"379 ""SARGENTO CABRAL""";"379 ""SAN SALVADOR"""
"380 ""SARMIENTO""";"380 ""SAN VICENTE"""
"381 ""SAUCE""";"381 ""SANAGASTA"""
"382 ""SILIPICA""";"382 ""SANTA BARBARA"""
"383 ""SIMOCA""";"383 ""SANTA CATALINA"""
"384 ""SOBREMONTE""";"384 ""SANTA LUCIA"""
"385 ""SUIPACHA""";"385 ""SANTA MARIA"""
"386 ""SUSQUES""";"386 ""SANTA ROSA"""
"387 ""TABOADA""";"387 ""SANTA VICTORIA"""
"388 ""TAFI DEL VALLE""";"388 ""SANTO TOME"""
"389 ""TAFI VIEJO""";"389 ""SARGENTO CABRAL"""
"390 ""TALA""";"390 ""SARMIENTO"""
"391 ""TANDIL""";"391 ""SAUCE"""
"392 ""TAPALQUE""";"392 ""SILIPICA"""
"393 ""TAPENAGA""";"393 ""SIMOCA"""
"394 ""TEHUELCHES""";"394 ""SOBREMONTE"""
"395 ""TELSEN""";"395 ""SUIPACHA"""
"396 ""TERCERO ARRIBA""";"396 ""SUSQUES"""
"397 ""TIGRE""";"397 ""TABOADA"""
"398 ""TILCARA""";"398 ""TAFI DEL VALLE"""
"399 ""TINOGASTA""";"399 ""TAFI VIEJO"""
"400 ""TOAY""";"400 ""TALA"""
"401 ""TORDILLO""";"401 ""TANDIL"""
"402 ""TORNQUIST""";"402 ""TAPALQUE"""
"403 ""TOTORAL""";"403 ""TAPENAGA"""
"404 ""TRANCAS""";"404 ""TEHUELCHES"""
"405 ""TRENEL""";"405 ""TELSEN"""
"406 ""TRENQUE LAUQUEN""";"406 ""TERCERO ARRIBA"""
"407 ""TRES ARROYOS""";"407 ""TIGRE"""
"408 ""TRES DE FEBRERO""";"408 ""TILCARA"""
"409 ""TRES LOMAS""";"409 ""TINOGASTA"""
"410 ""TULUMBA""";"410 ""TOAY"""
"411 ""TUMBAYA""";"411 ""TORDILLO"""
"412 ""TUNUYAN""";"412 ""TORNQUIST"""
"413 ""TUPUNGATO""";"413 ""TOTORAL"""
"414 ""ULLUM""";"414 ""TRANCAS"""
"415 ""UNION""";"415 ""TRENEL"""
"416 ""URUGUAY""";"416 ""TRENQUE LAUQUEN"""
"417 ""USHUAIA""";"417 ""TRES ARROYOS"""
"418 ""UTRACAN""";"418 ""TRES DE FEBRERO"""
"419 ""VALCHETA""";"419 ""TRES LOMAS"""
