year;province;pbg_manufactura;pbg_total_pm;pbg_total_pp;ic;ic_on;ic_op;ic_tributarios;ic_tributarios_op;ic_tributarios_op_iibb;ic_tributarios_op_inmob;ic_tributarios_op_sellos;ic_tributarios_op_autom;ic_tributarios_op_otros;ic_tributarios_on;ic_transferencias;ic_otros;ik;ik_op;ik_on;ik_dif;i_on;it;gc;gc_consumo;gc_consumo_personal;gc_rentas;gc_transferencias;gc_transferencias_sprivado;gc_transferencias_spublico;gc_transferencias_sexterno;gk;gk_ird;gk_transferencias;gk_transferencias_sprivado;gk_transferencias_spublico;gk_transferencias_sexterno;gk_if;gt;personal (planta ocupada);salario_promedio (gasto medio);population;apn_gconsumo;apn_grentasprop;apn_prestss;apn_impdir;apn_transf;apn_corrientes (confirmar si es el total);apn_IRD;apn_transfK;apn_invfciera;apn_capital (confirmar si es el total);gn_admgub;gn_defensa;gn_servsoc;gn_servecon;gn_deuda;gn_total
1994;Chaco;257;2986;;;;;;;55,70;2,74;9,46;0,00;13,21;;;;;;;;;;;;;;;;;;;;;;;;;;37067;971,77;884134;;;;;;;;;;;;;;;;
1994;Chubut;305,34;2693,52;2689,16;;;;;;38,85;0,11;12,57;0,00;0,68;;;;;;;;;;;;;;;;;;;;;;;;;;20551;1047,46;389195;;;;;;;;;;;;;;;;
1994;Cordoba;;;;;;;;;501,11;232,88;89,54;0,00;36,71;;;;;;;;;;;;;;;;;;;;;;;;;;85479;1151,56;2897225;;;;;;;;;;;;;;;;
1994;Corrientes;;;;;;;;;47,64;10,13;13,01;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;39440;777,78;844441;;;;;;;;;;;;;;;;
1994;Entre Rios;;;;;;;;;97,15;68,04;41,18;37,45;4,61;;;;;;;;;;;;;;;;;;;;;;;;;;46885;909,50;1060039;;;;;;;;;;;;;;;;
1994;Formosa;88,63;;1378,05;;;;;;21,57;1,06;3,76;0,00;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;32493;776,37;435615;;;;;;;;;;;;;;;;
1994;Jujuy;330,02;;1997,85;;;;;;31,35;10,21;6,58;0,00;1,67;;;;;;;;;;;;;;;;;;;;;;;;;;27075;938,05;545375;;;;;;;;;;;;;;;;
1994;La Pampa;162,84;;1726,71;;;;;;38,80;14,75;15,91;11,83;1,56;;;;;;;;;;;;;;;;;;;;;;;;;;16192;983,67;277400;;;;;;;;;;;;;;;;
1994;La Rioja;;;;;;;;;15,55;1,96;3,63;2,13;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;22747;949,67;241150;;;;;;;;;;;;;;;;
1994;Mendoza;1756,67;8098,03;;;;;;;230,57;55,95;85,09;47,19;8,71;;;;;;;;;;;;;;;;;;;;;;;;;;47180;1042,57;1488799;;;;;;;;;;;;;;;;
1994;Misiones;91,87;2677,52;;;;;;;57,20;11,78;10,99;1,33;0,80;;;;;;;;;;;;;;;;;;;;;;;;;;33886;806,07;861902;;;;;;;;;;;;;;;;
1994;Neuquen;417,12;12926,13;;;;;;;82,53;10,13;23,34;0,00;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;29846;1187,73;444468;;;;;;;;;;;;;;;;
1994;Rio Negro;240,41;3161,09;;;;;;;69,59;17,93;23,88;13,59;0,88;;;;;;;;;;;;;;;;;;;;;;;;;;30541;1103,62;547340;;;;;;;;;;;;;;;;
1994;Salta;190,81;2310,13;;;;;;;79,06;4,37;13,92;0,00;6,19;;;;;;;;;;;;;;;;;;;;;;;;;;41680;895,00;936496;;;;;;;;;;;;;;;;
1994;San Juan;481,89;2423,10;;;;;;;28,43;5,59;8,31;4,00;16,34;;;;;;;;;;;;;;;;;;;;;;;;;;33331;1009,81;550242;;;;;;;;;;;;;;;;
1994;San Luis;1501,78;2984,17;;;;;;;46,74;16,33;11,55;1,25;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;17142;1044,49;313578;;;;;;;;;;;;;;;;
1994;Santa Cruz;64,90;2415,85;2211,30;;;;;;41,69;0,10;12,28;0,00;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;15436;1147,77;176069;;;;;;;;;;;;;;;;
1994;Santa Fe;3229,42;20638,90;;;;;;;490,98;181,40;171,48;6,82;2,77;;;;;;;;;;;;;;;;;;;;;;;;;;84216;1022,45;2919684;;;;;;;;;;;;;;;;
1994;Santiago del Estero;561,01;;1803,59;;;;;;33,54;7,52;7,30;5,59;8,90;;;;;;;;;;;;;;;;;;;;;;;;;;32303;1047,03;694932;;;;;;;;;;;;;;;;
1994;Tierra del Fuego;;;;;;;;;41,28;0,09;3,29;0,00;3,92;;;;;;;;;;;;;;;;;;;;;;;;;;6192;2174,89;84608;;;;;;;;;;;;;;;;
1994;Tucuman;812,21;4292,31;;;;;;;79,08;18,77;26,07;16,93;15,02;;;;;;;;;;;;;;;;;;;;;;;;;;46632;802,16;1201095;;;;;;;;;;;;;;;;
1995;Buenos Aires;20609,21;83147,02;76179,78;;;;;;1718,36;531,20;402,17;398,96;417,52;;;;;;;;;;;;;;;;;;;;;;;;;;319667;841,74;13379401;;;;;;;;;;;1,20;33,21;119,74;22,03;0,74;176,92
1995;CABA;;;;;;;;;1516,18;406,94;0,00;272,53;94,98;;;;;;;;;;;;;;;;;;;;;;;;;;110025;1105,01;3027886;;;;;;;;;;;2197,17;1458,49;23384,14;1232,60;26,28;28298,67
1995;Catamarca;255,11;1140,72;;;;;;;14,15;2,34;3,37;2,34;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;23237;925,78;289212;;;;;;;;;;;0,00;0,00;16,52;5,34;0,00;21,86
1995;Chaco;266;2977;;;;;;;71,97;3,11;9,54;0,00;13,76;;;;;;;;;;;;;;;;;;;;;;;;;;39150;999,27;895900;;;;;;;;;;;0,00;0,00;11,16;13,01;0,00;24,18
1995;Chubut;297,43;2740,57;2736,12;;;;;;39,16;0,65;12,27;0,00;0,61;;;;;;;;;;;;;;;;;;;;;;;;;;23013;972,94;399125;;;;;;;;;;;0,00;0,20;21,78;14,23;0,00;36,21
1995;Cordoba;2869,90;;18006,25;;;;;;475,22;241,18;94,27;0,00;37,41;;;;;;;;;;;;;;;;;;;;;;;;;;83288;1110,80;2929734;;;;;;;;;;;0,00;0,01;8,91;10,07;0,00;19,00
1995;Corrientes;;;;;;;;;39,66;8,73;8,83;0,00;12,08;;;;;;;;;;;;;;;;;;;;;;;;;;41051;741,99;857685;;;;;;;;;;;0,00;0,01;0,93;2,64;0,00;3,57
1995;Entre Rios;;;;;;;;;96,42;74,83;34,43;36,23;25,94;;;;;;;;;;;;;;;;;;;;;;;;;;46745;983,29;1069102;;;;;;;;;;;0,00;0,01;2,88;14,27;0,00;17,16
1995;Formosa;79,04;;1356,54;;;;;;15,65;0,71;2,81;0,00;0,85;;;;;;;;;;;;;;;;;;;;;;;;;;32415;813,81;447094;;;;;;;;;;;0,00;0,00;2,93;7,87;0,00;10,80
1995;Jujuy;343,60;;1982,51;;;;;;29,66;8,50;4,21;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;27217;965,28;555097;;;;;;;;;;;0,00;0,00;0,00;7,22;0,00;7,22
1995;La Pampa;159,59;;1867,39;;;;;;35,67;14,32;13,96;12,30;1,73;;;;;;;;;;;;;;;;;;;;;;;;;;15552;1022,37;282356;;;;;;;;;;;12,36;0,43;0,00;13,73;0,00;26,52
1995;La Rioja;;;;;;;;;10,36;1,44;2,27;1,94;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;22031;991,66;247575;;;;;;;;;;;47,21;0,00;0,00;20,33;0,00;67,54
1995;Mendoza;1615,16;7908,81;;;;;;;187,00;34,88;43,38;47,33;14,58;;;;;;;;;;;;;;;;;;;;;;;;;;47748;1053,46;1508959;;;;;;;;;;;0,00;0,00;0,39;14,83;0,00;15,22
1995;Misiones;98,65;2836,00;;;;;;;52,22;11,02;8,30;1,16;11,00;;;;;;;;;;;;;;;;;;;;;;;;;;32609;853,08;884291;;;;;;;;;;;1,29;0,00;0,71;5,62;0,00;7,62
1995;Neuquen;385,65;13300,62;;;;;;;91,22;11,18;24,84;0,00;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;32340;1128,01;463266;;;;;;;;;;;0,03;0,00;19,95;44,53;0,00;64,52
1995;Rio Negro;237,12;3134,17;;;;;;;58,69;14,06;17,96;11,08;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;30353;1107,17;559590;;;;;;;;;;;0,00;0,02;29,88;10,05;0,00;39,95
1995;Salta;193,08;2394,12;;;;;;;75,73;4,04;13,98;0,00;5,72;;;;;;;;;;;;;;;;;;;;;;;;;;40721;953,86;958094;;;;;;;;;;;0,00;0,00;8,42;10,78;0,00;19,20
1995;San Juan;481,95;2319,19;;;;;;;30,18;6,07;6,40;5,45;9,96;;;;;;;;;;;;;;;;;;;;;;;;;;29569;1107,31;555223;;;;;;;;;;;0,00;0,00;0,00;18,74;0,00;18,74
1995;San Luis;1466,12;2939,71;;;;;;;42,48;14,84;10,50;1,14;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;18462;898,94;321890;;;;;;;;;;;0,00;0,00;0,00;22,58;0,00;22,58
1995;Santa Cruz;42,25;2756,81;2533,10;;;;;;54,09;0,02;14,21;0,00;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;15488;1393,50;181198;;;;;;;;;;;16,81;0,00;38,12;9,72;0,00;64,65
1995;Santa Fe;3072,41;20433,45;;;;;;;418,37;154,57;146,12;5,81;2,36;;;;;;;;;;;;;;;;;;;;;;;;;;94959;950,00;2949050;;;;;;;;;;;16,01;0,00;12,17;19,80;0,00;47,98
1995;Santiago del Estero;501,73;;3417,00;;;;;;31,13;6,98;6,78;5,19;7,48;;;;;;;;;;;;;;;;;;;;;;;;;;31961;922,43;700114;;;;;;;;;;;0,00;0,00;47,38;5,33;0,00;52,71
1995;Tierra del Fuego;;;;;;;;;43,33;0,07;0,88;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;7326;2060,50;89992;;;;;;;;;;;0,00;1,71;8,09;14,41;0,00;24,22
